name,price
ADANIENT,2.92
POWERGRID,1.39
ADANIPORTS,1.52
TATASTEEL,3.53
ONGC,0.61
NTPC,0.87
NESTLEIND,0.41
TATACONSUM,0.33
ASIANPAINT,0.30
TATAMOTORS,3.14
UPL,0.24
BAJAJ-AUTO,0.34
EICHERMOT,0.30
COALINDIA,1.70
DIVISLAB,0.07
TECHM,0.22
SUNPHARMA,0.22
CIPLA,0.21
HCLTECH,0.99
APOLLOHOSP,0.48
TITAN,0.52
DRREDDY,0.16
ULTRACEMCO,0.12
INDUSINDBK,0.39
AXISBANK,3.64
HINDUNILVR,0.45
MARUTI,0.54
SBIN,2.33
LT,1.13
LTIM,0.10
BAJFINANCE,1.12
TCS,5.65
HDFCLIFE,0.14
HDFCBANK,35.20
KOTAKBANK,0.36
BHARTIARTL,0.58
RELIANCE,7.26
JSWSTEEL,0.18
HEROMOTOCO,0.53
BRITANNIA,0.16
GRASIM,0.11
ITC,2.79
WIPRO,1.08
HINDALCO,0.72
INFY,2.58
M&M,1.51
BAJAJFINSV,0.63
ICICIBANK,22.76
SBILIFE,0.19
BPCL,7.12
Total,"11,984.68"
