created_at,link
Wed Mar 20 22:16:53 +0000 2024,https://twitter.com/elonmusk/status/1770575265716146280
Wed Mar 20 21:39:50 +0000 2024,https://twitter.com/elonmusk/status/1770565942168420750
Wed Mar 20 08:04:58 +0000 2024,https://twitter.com/elonmusk/status/1770360871338033613
Tue Mar 19 23:35:41 +0000 2024,https://twitter.com/elonmusk/status/1770232706657653071
Tue Mar 19 23:03:18 +0000 2024,https://twitter.com/elonmusk/status/1770224558664241661
Tue Mar 19 23:03:05 +0000 2024,https://twitter.com/elonmusk/status/1770224502703882509
Tue Mar 19 22:53:51 +0000 2024,https://twitter.com/elonmusk/status/1770222178279252062
Tue Mar 19 21:33:24 +0000 2024,https://twitter.com/elonmusk/status/1770201933074104538
Tue Mar 19 20:11:29 +0000 2024,https://twitter.com/elonmusk/status/1770181321018478622
Tue Mar 19 19:32:47 +0000 2024,https://twitter.com/elonmusk/status/1770171578736627997
